model,scenario,bucket,constraint,target,related,unrelated,relation,unprimed_context,related_context,unrelated_context,facilitation
bert-large-uncased,word,8,0.7560340464,spring,autumn,spicy,category,[CLS] jane was looking for new clothes for her [MASK] wardrobe . [SEP],[CLS] autumn. jane was looking for new clothes for her [MASK] wardrobe . [SEP],[CLS] spicy. jane was looking for new clothes for her [MASK] wardrobe . [SEP],0.5984783282641244
bert-base-uncased,sentence,8,0.7838543355,apart,together,reef,antonym,[CLS] tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],[CLS] the next word is together. tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],[CLS] the next word is reef. tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],-0.23496867990816245
bert-base-uncased,sentence,8,0.705463171,branch,twig,science,synonym,"[CLS] picking it up gently , she set it on a tree [MASK] . [SEP]","[CLS] the next word is twig. picking it up gently , she set it on a tree [MASK] . [SEP]","[CLS] the next word is science. picking it up gently , she set it on a tree [MASK] . [SEP]",0.04187081254634417
bert-base-uncased,sentence,8,0.7560340464,spring,autumn,spicy,category,[CLS] jane was looking for new clothes for her [MASK] wardrobe . [SEP],[CLS] the next word is autumn. jane was looking for new clothes for her [MASK] wardrobe . [SEP],[CLS] the next word is spicy. jane was looking for new clothes for her [MASK] wardrobe . [SEP],1.5721822496842202
bert-large-uncased,sentence,8,0.7838543355,apart,together,reef,antonym,[CLS] tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],[CLS] the next word is together. tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],[CLS] the next word is reef. tim and bonnie had to spend their 15th anniversary [MASK] . [SEP],-0.111981831136087
bert-large-uncased,sentence,8,0.705463171,branch,twig,science,synonym,"[CLS] picking it up gently , she set it on a tree [MASK] . [SEP]","[CLS] the next word is twig. picking it up gently , she set it on a tree [MASK] . [SEP]","[CLS] the next word is science. picking it up gently , she set it on a tree [MASK] . [SEP]",0.09963016506240786
bert-large-uncased,sentence,8,0.7560340464,spring,autumn,spicy,category,[CLS] jane was looking for new clothes for her [MASK] wardrobe . [SEP],[CLS] the next word is autumn. jane was looking for new clothes for her [MASK] wardrobe . [SEP],[CLS] the next word is spicy. jane was looking for new clothes for her [MASK] wardrobe . [SEP],2.574796093951124
bert-base-uncased,word,9,0.8503094614,apart,together,reef,antonym,[CLS] they said they studied together and sat far [MASK] during the test . [SEP],[CLS] together. they said they studied together and sat far [MASK] during the test . [SEP],[CLS] reef. they said they studied together and sat far [MASK] during the test . [SEP],0.02449450420557435
bert-base-uncased,word,9,0.8920784,branch,twig,science,synonym,[CLS] he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] twig. he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] science. he was sitting on a [MASK] of the tree beside me . [SEP],0.1475465508643235
bert-base-uncased,word,9,0.8691595793,spring,autumn,spicy,category,[CLS] the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] autumn. the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] spicy. the deer would stay for fall and winter and would leave in [MASK] . [SEP],0.0691045505017516
bert-large-uncased,word,9,0.8503094614,apart,together,reef,antonym,[CLS] they said they studied together and sat far [MASK] during the test . [SEP],[CLS] together. they said they studied together and sat far [MASK] during the test . [SEP],[CLS] reef. they said they studied together and sat far [MASK] during the test . [SEP],-0.0437028839543073
bert-large-uncased,word,9,0.8920784,branch,twig,science,synonym,[CLS] he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] twig. he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] science. he was sitting on a [MASK] of the tree beside me . [SEP],-0.02077236693979352
bert-large-uncased,word,9,0.8691595793,spring,autumn,spicy,category,[CLS] the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] autumn. the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] spicy. the deer would stay for fall and winter and would leave in [MASK] . [SEP],0.16565834366714083
bert-base-uncased,sentence,9,0.8503094614,apart,together,reef,antonym,[CLS] they said they studied together and sat far [MASK] during the test . [SEP],[CLS] the next word is together. they said they studied together and sat far [MASK] during the test . [SEP],[CLS] the next word is reef. they said they studied together and sat far [MASK] during the test . [SEP],0.1629830491437114
bert-base-uncased,sentence,9,0.8920784,branch,twig,science,synonym,[CLS] he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] the next word is twig. he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] the next word is science. he was sitting on a [MASK] of the tree beside me . [SEP],0.05592753290865722
bert-base-uncased,sentence,9,0.8691595793,spring,autumn,spicy,category,[CLS] the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] the next word is autumn. the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] the next word is spicy. the deer would stay for fall and winter and would leave in [MASK] . [SEP],0.30788396199747303
bert-large-uncased,sentence,9,0.8503094614,apart,together,reef,antonym,[CLS] they said they studied together and sat far [MASK] during the test . [SEP],[CLS] the next word is together. they said they studied together and sat far [MASK] during the test . [SEP],[CLS] the next word is reef. they said they studied together and sat far [MASK] during the test . [SEP],0.054201180112697846
bert-large-uncased,sentence,9,0.8920784,branch,twig,science,synonym,[CLS] he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] the next word is twig. he was sitting on a [MASK] of the tree beside me . [SEP],[CLS] the next word is science. he was sitting on a [MASK] of the tree beside me . [SEP],-0.0010580558409750262
bert-large-uncased,sentence,9,0.8691595793,spring,autumn,spicy,category,[CLS] the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] the next word is autumn. the deer would stay for fall and winter and would leave in [MASK] . [SEP],[CLS] the next word is spicy. the deer would stay for fall and winter and would leave in [MASK] . [SEP],-0.027544939717712838
bert-base-uncased,word,10,0.9365926981,apart,together,reef,antonym,[CLS] he felt like his world was falling [MASK] . [SEP],[CLS] together. he felt like his world was falling [MASK] . [SEP],[CLS] reef. he felt like his world was falling [MASK] . [SEP],0.0545392584077036
bert-base-uncased,word,10,0.9261839688,branch,twig,science,synonym,[CLS] a tree [MASK] was hitting against the window outside . [SEP],[CLS] twig. a tree [MASK] was hitting against the window outside . [SEP],[CLS] science. a tree [MASK] was hitting against the window outside . [SEP],0.059399150691112
bert-base-uncased,word,10,0.9817377627,spring,autumn,spicy,category,[CLS] the pond worked great during [MASK] and summer . [SEP],[CLS] autumn. the pond worked great during [MASK] and summer . [SEP],[CLS] spicy. the pond worked great during [MASK] and summer . [SEP],-0.0011627821003354624
bert-large-uncased,word,10,0.9365926981,apart,together,reef,antonym,[CLS] he felt like his world was falling [MASK] . [SEP],[CLS] together. he felt like his world was falling [MASK] . [SEP],[CLS] reef. he felt like his world was falling [MASK] . [SEP],0.004286254718794522
bert-large-uncased,word,10,0.9261839688,branch,twig,science,synonym,[CLS] a tree [MASK] was hitting against the window outside . [SEP],[CLS] twig. a tree [MASK] was hitting against the window outside . [SEP],[CLS] science. a tree [MASK] was hitting against the window outside . [SEP],-0.1799065890915055
bert-large-uncased,word,10,0.9817377627,spring,autumn,spicy,category,[CLS] the pond worked great during [MASK] and summer . [SEP],[CLS] autumn. the pond worked great during [MASK] and summer . [SEP],[CLS] spicy. the pond worked great during [MASK] and summer . [SEP],0.02126789764806128
bert-base-uncased,sentence,10,0.9365926981,apart,together,reef,antonym,[CLS] he felt like his world was falling [MASK] . [SEP],[CLS] the next word is together. he felt like his world was falling [MASK] . [SEP],[CLS] the next word is reef. he felt like his world was falling [MASK] . [SEP],0.07058625701116844
bert-base-uncased,sentence,10,0.9261839688,branch,twig,science,synonym,[CLS] a tree [MASK] was hitting against the window outside . [SEP],[CLS] the next word is twig. a tree [MASK] was hitting against the window outside . [SEP],[CLS] the next word is science. a tree [MASK] was hitting against the window outside . [SEP],0.025208228462659066
bert-base-uncased,sentence,10,0.9817377627,spring,autumn,spicy,category,[CLS] the pond worked great during [MASK] and summer . [SEP],[CLS] the next word is autumn. the pond worked great during [MASK] and summer . [SEP],[CLS] the next word is spicy. the pond worked great during [MASK] and summer . [SEP],-0.004922593236374233
bert-large-uncased,sentence,10,0.9365926981,apart,together,reef,antonym,[CLS] he felt like his world was falling [MASK] . [SEP],[CLS] the next word is together. he felt like his world was falling [MASK] . [SEP],[CLS] the next word is reef. he felt like his world was falling [MASK] . [SEP],5.804716847224394e-4
bert-large-uncased,sentence,10,0.9261839688,branch,twig,science,synonym,[CLS] a tree [MASK] was hitting against the window outside . [SEP],[CLS] the next word is twig. a tree [MASK] was hitting against the window outside . [SEP],[CLS] the next word is science. a tree [MASK] was hitting against the window outside . [SEP],0.014453472693034746
bert-large-uncased,sentence,10,0.9817377627,spring,autumn,spicy,category,[CLS] the pond worked great during [MASK] and summer . [SEP],[CLS] the next word is autumn. the pond worked great during [MASK] and summer . [SEP],[CLS] the next word is spicy. the pond worked great during [MASK] and summer . [SEP],0.008622043618975384
