isolated_context,constraint,category
[CLS] the girls decided to dance to [MASK] their boredom . [SEP],0.2948825657,3
[CLS] he tried every [MASK] . [SEP],0.3487567231,4
[CLS] several weeks go by and they manage to develop a [MASK] . [SEP],0.4929663688,5
[CLS] another customer interrupted to say that vitamins would [MASK] cancer . [SEP],0.5391079485,6
[CLS] i did some research online to find a natural [MASK] for insomnia . [SEP],0.6563418955,7
[CLS] he heads to the kitchen to search for something to [MASK] his hunger . [SEP],0.7611378729,8
[CLS] he finally hit upon a miracle [MASK] for his insomnia . [SEP],0.861153394,9
"[CLS] within one year , he found a complete [MASK] for the disease ! [SEP]",0.998280555,10
[CLS] she sewed them to [MASK] and dresses and lampshades . [SEP],0.0897258148,1
"[CLS] cathy loved these [MASK] , as they reminded them of her grandmother . [SEP]",0.1221563369,2
"[CLS] one day , she saw a string hanging from one of my [MASK] . [SEP]",0.2475799248,3
[CLS] he ended up getting hit by the [MASK] . [SEP],0.3921393454,4
[CLS] the new [MASK] let in more light . [SEP],0.4173979312,5
"[CLS] opening the [MASK] , i saw the pretty rain . [SEP]",0.5589718521,6
[CLS] ruth peered through the [MASK] into the mist outside . [SEP],0.6036614776,7
[CLS] she hung the [MASK] and was frustrated . [SEP],0.7274237871,8
[CLS] i decided to hang [MASK] in my bedroom . [SEP],0.8530138135,9
"[CLS] when jim opened his [MASK] , he saw it 'd snowed over night . [SEP]",0.9911509454,10
[CLS] workers measure and [MASK] the materials for the sneakers there . [SEP],0.0877103992,1
"[CLS] when she reached in the sink , she felt something [MASK] her . [SEP]",0.180416517,2
[CLS] we had to [MASK] the beautiful red maple down . [SEP],0.2748322487,3
[CLS] gina 's sister [MASK] her ankle on broken glass . [SEP],0.3785394,4
[CLS] bob was dazed and had a [MASK] on his forehead ! [SEP],0.470329091,5
[CLS] he decided to [MASK] it out entirely . [SEP],0.5144200921,6
"[CLS] however , when he [MASK] into it , it was still pink . [SEP]",0.6967050731,7
[CLS] it [MASK] my hand very badly . [SEP],0.7091328,8
"[CLS] in the process , she sustained a deep paper [MASK] . [SEP]",0.8333365,9
[CLS] lane had a [MASK] on his finger . [SEP],0.9795218,10
[CLS] it was very [MASK] . [SEP],0.0615123157,1
[CLS] josh had a baby sitter who he thought was really [MASK] . [SEP],0.1798159778,2
[CLS] it was [MASK] so i approached it . [SEP],0.2816693187,3
[CLS] all the sudden a [MASK] man walks by . [SEP],0.3532059193,4
[CLS] i decided to make [MASK] treats . [SEP],0.4624803811,5
[CLS] then she overheard a [MASK] boy saying how nice glasses looked ! [SEP],0.5244284868,6
[CLS] i decided to flirt with a [MASK] waiter by leaving a note with the bill . [SEP],0.61162211,7
[CLS] it was a [MASK] little stuffed bunny . [SEP],0.739479512,8
[CLS] none of them were [MASK] enough for her . [SEP],0.8871884048,9
[CLS] the erasers came in all kinds of [MASK] shapes and sizes . [SEP],0.9473944604,10
[CLS] arnold 's [MASK] came running over to blow the bounce house back up . [SEP],0.089552097,1
[CLS] brad and his [MASK] decided they would make giant ice cubes . [SEP],0.1949289739,2
[CLS] john had a fight with his [MASK] . [SEP],0.2354363576,3
[CLS] i was waiting for my [MASK] to pick me up from my after school program . [SEP],0.3397549242,4
[CLS] she wandered for almost an hour until she heard her [MASK] 's voice . [SEP],0.4456034601,5
[CLS] his [MASK] takes him to his uncle 's house . [SEP],0.5580852777,6
[CLS] the son let the fish go when his [MASK] was n't looking . [SEP],0.600793153,7
[CLS] sam 's [MASK] was glad his son was interested in geology . [SEP],0.7963419855,8
[CLS] he quit anyways without telling his mom and [MASK] . [SEP],0.8017469049,9
[CLS] he told him mom and [MASK] that he was gay and proud . [SEP],0.9480834007,10
[CLS] champ met [MASK] in a tree house in an oak tree in the woods nearby . [SEP],0.0917866267,1
[CLS] he looked forward to his [MASK] lollipop all morning long . [SEP],0.1316397525,2
[CLS] he sent [MASK] emails to his friends in france to update them . [SEP],0.2635147125,3
"[CLS] sue drank wine [MASK] , but never felt like she was drunk . [SEP]",0.3288452476,4
[CLS] jason woke up and went to prepare his [MASK] cereal for breakfast . [SEP],0.4462060928,5
[CLS] delia was so ashamed that she started flossing [MASK] . [SEP],0.5798061788,6
[CLS] he gets the [MASK] newspaper and checks out the help wanted ads . [SEP],0.6117360592,7
[CLS] i bought myself a [MASK] planner . [SEP],0.7437164187,8
"[CLS] i used expensive , quality litter which i scooped [MASK] . [SEP]",0.8477339149,9
[CLS] stacey packs lunch [MASK] for her kids . [SEP],0.9299336672,10
[CLS] ty wanted to join a [MASK] class . [SEP],0.0841444135,1
[CLS] every spring sue 's school holds a [MASK] . [SEP],0.16891478,2
[CLS] she was in the corner because nobody asked her to [MASK] . [SEP],0.2223244086,3
"[CLS] one day at the park , he found a girl who also loved to [MASK] . [SEP]",0.363557443,4
[CLS] they spent the afternoon looking for [MASK] shoes . [SEP],0.4583290368,5
"[CLS] as the school [MASK] approached , mia was asked to go by another boy . [SEP]",0.5213498771,6
[CLS] his favorite type of [MASK] was the tango . [SEP],0.6143582165,7
[CLS] dan did not know how to [MASK] with his new wife . [SEP],0.7765280008,8
"[CLS] the [MASK] was a huge hit , making everyone in the crowd laugh . [SEP]",0.8001178205,9
[CLS] one year at the school [MASK] they provided free pizza . [SEP],0.9887589216,10
[CLS] trey was a world - famous [MASK] . [SEP],0.076241836,1
[CLS] it made me better and now i am also a really good [MASK] . [SEP],0.1219789274,2
[CLS] joe was a terrible [MASK] and his wife was good at it . [SEP],0.2571060359,3
[CLS] jake was a good [MASK] but he was shy . [SEP],0.3200681508,4
[CLS] lola was a good [MASK] who joined a dance contest . [SEP],0.4244920313,5
[CLS] amy was n't the best [MASK] in her class . [SEP],0.5872187018,6
[CLS] jan went on to be a successful ballet [MASK] . [SEP],0.6829740405,7
[CLS] the show included performers juggling fire sticks and a belly [MASK] . [SEP],0.7427948117,8
[CLS] dana wanted to be a professional [MASK] but he had a handicap . [SEP],0.8117854595,9
[CLS] jan dreamed of being a ballet [MASK] ever since she was a little girl . [SEP],0.9739111364,10
[CLS] his mother said it was [MASK] . [SEP],0.0505472031,1
[CLS] sandy heard of a [MASK] snow storm coming her way . [SEP],0.1563735828,2
[CLS] they were afraid it would be [MASK] wild animals . [SEP],0.2627230138,3
[CLS] but his car stopped working while in a [MASK] part of town . [SEP],0.3218035847,4
[CLS] marci lived in a [MASK] city and needed a change . [SEP],0.4650401473,5
[CLS] they did n't have any helmets which seemed [MASK] . [SEP],0.5663049519,6
[CLS] luckily it was just a deer and nothing [MASK] ! [SEP],0.6563580483,7
[CLS] one day he convinced jane to do a [MASK] trick . [SEP],0.736681819,8
"[CLS] george told everyone if you follow the rules , it 's not so [MASK] . [SEP]",0.8549892604,9
[CLS] his parents warned him that motorcycles were very [MASK] . [SEP],0.9004759192,10
[CLS] angela was scared of the [MASK] . [SEP],0.0785378926,1
[CLS] it was [MASK] and creepy . [SEP],0.1501327381,2
[CLS] the cave explorer felt around in the [MASK] for his spare . [SEP],0.2136666849,3
[CLS] the room began getting [MASK] from the setting sun . [SEP],0.3398200423,4
[CLS] kate and her family were in a [MASK] house during a blackout . [SEP],0.4073922411,5
[CLS] he had to stumble in the [MASK] until he found some candles . [SEP],0.5401899368,6
"[CLS] i turned out all the lights , making the store as [MASK] as a tomb . [SEP]",0.6371778399,7
"[CLS] it was still too [MASK] , so she turned on the overhead light . [SEP]",0.7144581974,8
[CLS] she decided to just eat a few pieces of [MASK] chocolate instead . [SEP],0.8993096948,9
[CLS] it was getting [MASK] and amy needed to get home . [SEP],0.9074622691,10
[CLS] she slurped down the yogurt that was two days past the use by [MASK] . [SEP],0.0561962239,1
[CLS] i am going to pick up my [MASK] . [SEP],0.1390849426,2
[CLS] jason picked up suzy at her house for their [MASK] . [SEP],0.2654929236,3
[CLS] their son is twenty and now tony is asking deana for a [MASK] . [SEP],0.3408772647,4
[CLS] she spent her lunch [MASK] getting a flat fixed . [SEP],0.4825988263,5
[CLS] al wanted to go to his friend 's party to find a girl to [MASK] . [SEP],0.5094260722,6
[CLS] the winner of the game would get a [MASK] with cassie . [SEP],0.6946377307,7
[CLS] she had a [MASK] to the school dance who was taller than her ! [SEP],0.7299730182,8
[CLS] he called her the next morning and asked her on a [MASK] . [SEP],0.8973150551,9
[CLS] he went on a [MASK] with her and had a great time . [SEP],0.9749609828,10
"[CLS] finally the [MASK] arrived , and he stood on top of the bridge . [SEP]",0.0828143023,1
"[CLS] later in the [MASK] , they were shown a virtual planetarium . [SEP]",0.1880868599,2
"[CLS] james learned that [MASK] to focus on the game , not on bragging . [SEP]",0.2428000458,3
[CLS] one [MASK] it had a sign out front saying to come in . [SEP],0.3078515753,4
"[CLS] one [MASK] , she sniffed too closely to a bee ! [SEP]",0.414933309,5
"[CLS] but the next [MASK] , nate showed up drunk . [SEP]",0.5219222009,6
[CLS] one [MASK] jessica noticed the rabbits being forced to live outside . [SEP],0.6682298481,7
[CLS] tom had a test the next [MASK] . [SEP],0.7724274993,8
[CLS] kate had n't eaten all [MASK] . [SEP],0.8752843142,9
[CLS] his dog peed on it the first [MASK] . [SEP],0.9187953472,10
[CLS] she researched computers online for [MASK] . [SEP],0.0923559889,1
"[CLS] when she finally got better , there were only two more [MASK] left . [SEP]",0.1419412494,2
[CLS] the girls got two school snow [MASK] for less than two inches of snow . [SEP],0.2377614379,3
[CLS] two [MASK] ago i dropped my laundry of at the laundromat to be cleaned . [SEP],0.3701406568,4
[CLS] two [MASK] later a clothing company e - mailed him for a modeling job . [SEP],0.4039027244,5
[CLS] a few [MASK] later jane was informed he had been killed . [SEP],0.5362354815,6
[CLS] after 5 [MASK] he finally fixed the roof . [SEP],0.6093634367,7
"[CLS] after a few [MASK] , she went to get the results . [SEP]",0.7333844304,8
[CLS] some [MASK] i worried whether i was going to lose my job . [SEP],0.8877282143,9
[CLS] jeff notices he is tired earlier and earlier these [MASK] . [SEP],0.9402539134,10
[CLS] jeanie was n't bullied any more because she was [MASK] . [SEP],0.0721371248,1
[CLS] it is a [MASK] body . [SEP],0.116784703,2
"[CLS] when the pizza came , susie noticed a [MASK] fly on frank 's piece . [SEP]",0.2286687419,3
"[CLS] my sister tried to wake him , but instead he fell over [MASK] . [SEP]",0.3271854967,4
[CLS] he did n't realize the batteries were [MASK] . [SEP],0.4883293882,5
[CLS] the following morning their cat had been struck by a truck and [MASK] . [SEP],0.5746445954,6
[CLS] i looked around in the [MASK] man 's coffin . [SEP],0.6496060789,7
[CLS] kay was at a hotel and her phone was almost [MASK] . [SEP],0.7191530764,8
[CLS] the marshmallow instead flew threw the air onto [MASK] leaves . [SEP],0.8728799224,9
[CLS] she had graduated high school but was working a [MASK] end job . [SEP],0.9646489918,10
[CLS] the kid who took his chair was [MASK] . [SEP],0.0464465674,1
"[CLS] when mark was in college , he began to date a [MASK] girl . [SEP]",0.1687662378,2
[CLS] she was signing to a [MASK] classmate . [SEP],0.2247650623,3
[CLS] roy pretended that he was [MASK] and could not hear . [SEP],0.3583884388,4
[CLS] he was partially [MASK] as an adult . [SEP],0.4541706592,5
"[CLS] using her new skill , she introduced herself to a [MASK] girl at school . [SEP]",0.5191126615,6
[CLS] jim went [MASK] . [SEP],0.6131926477,7
[CLS] tone - [MASK] melanie and her talented pal tried out for choir at school . [SEP],0.7232137918,8
"[CLS] she sang every day , but was tone [MASK] . [SEP]",0.8461475074,9
[CLS] my music teacher smiled and said i was tone [MASK] . [SEP],0.9832200706,10
"[CLS] she did , though , when she got in trouble for matt 's [MASK] . [SEP]",0.0739770494,1
[CLS] lyndie had experienced a [MASK] of a newborn in her life . [SEP],0.1697754636,2
[CLS] [MASK] used to scare me . [SEP],0.2837908119,3
[CLS] his kill to [MASK] ratio is very high . [SEP],0.3355377465,4
[CLS] the therapist helped tommy deal with his mom 's [MASK] . [SEP],0.4202000126,5
[CLS] i am no longer afraid of [MASK] . [SEP],0.5193085223,6
[CLS] he was known for performing [MASK] - defying stunts . [SEP],0.6888870299,7
[CLS] they went through near [MASK] accidents together and survived . [SEP],0.7873059809,8
[CLS] kate is then told by the firemen her parents burned to [MASK] . [SEP],0.8165273964,9
"[CLS] he burned to [MASK] , and no one was the wiser . [SEP]",0.9078646004,10
[CLS] the wife could n't [MASK] . [SEP],0.0650973599,1
[CLS] i could n't [MASK] what i wanted . [SEP],0.1782605276,2
[CLS] they [MASK] to go to costa rica together . [SEP],0.2881634086,3
[CLS] jane liked lots of animals and could n't [MASK] which to choose . [SEP],0.3574464843,4
"[CLS] after half an hour , the two could n't [MASK] on a movie to watch . [SEP]",0.487001434,5
[CLS] janice could not [MASK] between mint and strawberry flavors . [SEP],0.597316891,6
[CLS] they [MASK] they want to adopt a baby . [SEP],0.688857913,7
[CLS] i had to [MASK] between two dresses . [SEP],0.7966496348,8
"[CLS] eventually , they [MASK] to conserve money and drive to a nearby city . [SEP]",0.8563132882,9
[CLS] we looked around and tried to [MASK] which gym we wanted to go to . [SEP],0.9382386804,10
[CLS] she was confident with her [MASK] . [SEP],0.0592255797,1
[CLS] greg was pleased with his [MASK] . [SEP],0.114113085,2
[CLS] julius then decided to move and was happy with the [MASK] . [SEP],0.2915250361,3
[CLS] the [MASK] to put the fight behind them . [SEP],0.3832278848,4
"[CLS] after hours and hours , her doctor made a [MASK] . [SEP]",0.4818429053,5
[CLS] she felt calm as she solidified her [MASK] to adopt . [SEP],0.534246847,6
[CLS] he felt very smart about his [MASK] to buy the compass later on . [SEP],0.628755644,7
[CLS] he made their [MASK] easier with his answers . [SEP],0.767432034,8
"[CLS] after days of the cleanse , fiona had enough and came to a [MASK] . [SEP]",0.8056980073,9
[CLS] jess made the [MASK] to start making home cook meals . [SEP],0.9320013821,10
[CLS] one of the caves produced a very funny and [MASK] echo . [SEP],0.0388998855,1
[CLS] edna had a [MASK] contralto voice for a woman . [SEP],0.1118097231,2
[CLS] she jumped into the [MASK] end of the pool at her school . [SEP],0.2718117312,3
[CLS] lorrie had a [MASK] passion for dragons . [SEP],0.3364378214,4
[CLS] one day he got too cocky and dove too [MASK] . [SEP],0.4786631912,5
[CLS] jane fell into [MASK] sleep one night . [SEP],0.5326391309,6
[CLS] daisy wanted to go [MASK] sea fishing . [SEP],0.6980701536,7
"[CLS] amy worked over [MASK] fryers all day , so she often got burn blisters . [SEP]",0.731803447,8
[CLS] i took my son [MASK] - sea fishing when he was 11 years old . [SEP],0.8743332624,9
[CLS] gina did n't want to step in knee [MASK] snow to clean her car off . [SEP],0.9690234363,10
[CLS] the man approached the [MASK] . [SEP],0.0991933681,1
[CLS] i moved the hostas behind a fence and built a [MASK] trough instead . [SEP],0.1338012889,2
[CLS] joe felt jittery and happy that he missed the two [MASK] . [SEP],0.2666098028,3
[CLS] he hit a [MASK] . [SEP],0.3072274476,4
[CLS] thomas shot his first [MASK] and enjoyed his hunting trip . [SEP],0.4197346121,5
[CLS] he was able to shoot a [MASK] on his first hunting trip . [SEP],0.5116309375,6
[CLS] he arrives in the blind and begins calling for [MASK] . [SEP],0.6687535048,7
[CLS] we took it home and made [MASK] jerky for everyone . [SEP],0.7735859454,8
"[CLS] finally , joseph was able to see a baby [MASK] and her mother . [SEP]",0.8456725478,9
[CLS] brian had to work on the first day of [MASK] season . [SEP],0.919171989,10
[CLS] my nephew played [MASK] . [SEP],0.0834410396,1
"[CLS] last week , his [MASK] succeeded . [SEP]",0.170976162,2
[CLS] the running back went through the [MASK] . [SEP],0.2122336105,3
[CLS] she began studying self [MASK] . [SEP],0.3965000361,4
[CLS] she scored lots of goals and was also great on [MASK] . [SEP],0.4687467217,5
[CLS] jeremiah was taking karate lesson for self [MASK] . [SEP],0.5778825581,6
[CLS] tom began teaching self [MASK] classes on weeknights . [SEP],0.6036626697,7
[CLS] the [MASK] attorney claimed the evidence was n't credible . [SEP],0.7276099026,8
[CLS] now i am labeled a murderer but i call it self [MASK] . [SEP],0.8430392742,9
[CLS] gina had signed them both up for a self - [MASK] class . [SEP],0.9044934809,10
[CLS] why did you mark the [MASK] of torpid as fast ? [SEP],0.0741373748,1
[CLS] now he sees the evidence of larger muscles and more [MASK] . [SEP],0.1590589508,2
"[CLS] one day , he realized he did n't know the [MASK] . [SEP]",0.2005664706,3
[CLS] i want to buy a big screen with high [MASK] . [SEP],0.3840595409,4
[CLS] she was not happy with loss of muscle [MASK] . [SEP],0.4990137517,5
[CLS] we decided to purchase a 52 inch high [MASK] vizio tv . [SEP],0.5540148541,6
[CLS] all we had to do was tell him the [MASK] of art . [SEP],0.6146020293,7
[CLS] smoking just seemed to be a [MASK] of who he was . [SEP],0.7768656015,8
[CLS] my high [MASK] television died . [SEP],0.8897667825,9
[CLS] tim watched his first movie in high - [MASK] . [SEP],0.9985020459,10
[CLS] the [MASK] was brand new . [SEP],0.0757873245,1
[CLS] gabe decided to purchase a [MASK] for his room . [SEP],0.1188613325,2
[CLS] she went to the [MASK] to ask for an application . [SEP],0.2924094647,3
"[CLS] however , my grandmother left a card near my computer [MASK] . [SEP]",0.3959995806,4
[CLS] they were all in a pile on his [MASK] . [SEP],0.4111304432,5
"[CLS] ali looked under the table , on the [MASK] , and in the couch cushions . [SEP]",0.5538275838,6
[CLS] ava took him to the front [MASK] kindly . [SEP],0.6455319971,7
[CLS] jane sat at her [MASK] praying for summer break to come . [SEP],0.7431823611,8
[CLS] the front [MASK] worker checked me in . [SEP],0.8174301684,9
[CLS] she sat at her [MASK] and began her math assignment . [SEP],0.9747683704,10
[CLS] he said if he keeps busy he wo n't [MASK] . [SEP],0.072802281,1
[CLS] the recovered patients were sent back out to kill and [MASK] . [SEP],0.148609966,2
[CLS] after a few weeks it started to [MASK] . [SEP],0.2078240141,3
[CLS] i felt like i was going to [MASK] . [SEP],0.331923306,4
[CLS] it warned me again that it was going to [MASK] . [SEP],0.4897577912,5
[CLS] his heart was enlarged and he could [MASK] at any time . [SEP],0.5707447007,6
"[CLS] matt really wanted to learn megadeth 's song , conquer or [MASK] . [SEP]",0.635615766,7
[CLS] haylee decided to just become a sheep herder and [MASK] alone . [SEP],0.7905603349,8
[CLS] tom always let his phone [MASK] . [SEP],0.8791390657,9
[CLS] he realized his phone was about to [MASK] . [SEP],0.9123310149,10
[CLS] i also sold them at [MASK] conventions . [SEP],0.0714071859,1
[CLS] he picked up many [MASK] toys and went to the register . [SEP],0.145273231,2
[CLS] her nose was [MASK] . [SEP],0.281084165,3
[CLS] tom researched [MASK] types of gear . [SEP],0.3928886801,4
[CLS] they were playing [MASK] games throughout the night . [SEP],0.4641653001,5
[CLS] doug wanted to try something [MASK] this weekend . [SEP],0.5901971459,6
[CLS] the janitor offered tom a [MASK] pair of shoes to wear . [SEP],0.6711422801,7
[CLS] she spent the next hour learning about [MASK] feral children . [SEP],0.7789964676,8
[CLS] she got creeped out and ran a [MASK] direction . [SEP],0.8502329588,9
[CLS] he went to the store and tried on [MASK] ones on display . [SEP],0.996604532,10
[CLS] he still impressed his wife with his romantic [MASK] . [SEP],0.0606823657,1
"[CLS] he had steak , chicken , shrimp and surprise meat for the [MASK] . [SEP]",0.13288147,2
[CLS] growing up my parents always made or bought me [MASK] . [SEP],0.2164308056,3
[CLS] kelly was inside her house making [MASK] . [SEP],0.3467389941,4
[CLS] meg was invited to a fancy [MASK] party . [SEP],0.4693222046,5
[CLS] joey called his ex to see if she wanted to have [MASK] . [SEP],0.5040219426,6
"[CLS] we had so many food items , the [MASK] was truly delicious . [SEP]",0.6372934878,7
[CLS] i decided to take her out to [MASK] . [SEP],0.721132189,8
[CLS] this made paul a bad guest to invite to [MASK] . [SEP],0.8094289303,9
"[CLS] kim was a bad cook , but her parents were coming for [MASK] ! [SEP]",0.9015897214,10
[CLS] tom followed the [MASK] step by step to build the desk . [SEP],0.0722145289,1
[CLS] the army gave him the [MASK] and purpose he was looking for . [SEP],0.1105835773,2
"[CLS] when i walked in that [MASK] , i did n't see the isle . [SEP]",0.2765546292,3
[CLS] i could n't steer the horse any [MASK] . [SEP],0.3448875099,4
[CLS] a ship that sails with no standard course and no sense of [MASK] . [SEP],0.4635542184,5
[CLS] strong winds started to blow in her [MASK] . [SEP],0.5651658475,6
[CLS] he screamed in their [MASK] and they finally turned around . [SEP],0.6946510077,7
[CLS] we chose to drive in the [MASK] of the drive - in while we thought . [SEP],0.7534168065,8
[CLS] he slammed into the principal walking the other [MASK] . [SEP],0.8781026304,9
[CLS] a band - aid in the water moved in their [MASK] . [SEP],0.9203912616,10
[CLS] i looked up the [MASK] online . [SEP],0.0868376307,1
[CLS] she did n't read the [MASK] . [SEP],0.1385573596,2
[CLS] she decided to use the [MASK] on her phone . [SEP],0.202008497,3
[CLS] he asks the clerk for [MASK] . [SEP],0.3286995888,4
[CLS] we decided to ask a sales associate at a local store for [MASK] . [SEP],0.4818632007,5
[CLS] it involved shaking his hands in different [MASK] . [SEP],0.5150651187,6
[CLS] susan decided to ask someone for [MASK] . [SEP],0.6745985448,7
[CLS] she had to call her boyfriend to give her [MASK] home . [SEP],0.7688088417,8
[CLS] ours was the only truck we could see in all [MASK] . [SEP],0.8187368512,9
[CLS] but we were going in opposite [MASK] . [SEP],0.9895697832,10
[CLS] she buried her treat in the [MASK] . [SEP],0.0845374763,1
[CLS] laura got mud and [MASK] all in her mouth . [SEP],0.134721417,2
[CLS] there was [MASK] and pine needles all over it . [SEP],0.2721237242,3
[CLS] it had leaves and [MASK] stuck to it . [SEP],0.3164161593,4
"[CLS] the next day , sue set her own [MASK] cake on the girls ' lunch table . [SEP]",0.4499679655,5
[CLS] jane did n't want to take them in the house covered in [MASK] . [SEP],0.5516017824,6
[CLS] ollie liked to ride his [MASK] bike . [SEP],0.6724176407,7
"[CLS] they would mix [MASK] with water , shape it and pretend it was real food . [SEP]",0.713245064,8
[CLS] he accidentally kicked [MASK] in her face . [SEP],0.8481622636,9
[CLS] cory and his brother went [MASK] biking for the day . [SEP],0.9411291182,10
"[CLS] the dog was small , black and very [MASK] . [SEP]",0.0881193318,1
[CLS] jason realizes that his clothes are mostly [MASK] . [SEP],0.1939979643,2
[CLS] the restroom was very [MASK] . [SEP],0.2986466363,3
[CLS] i took my old [MASK] clothes out of the laundry hamper . [SEP],0.37614315,4
[CLS] tom had a really [MASK] couch . [SEP],0.4906145036,5
[CLS] she gathered her [MASK] laundry and went to the laundromat . [SEP],0.5288072079,6
[CLS] tia used the soap bars to wash her [MASK] dogs . [SEP],0.6122335792,7
[CLS] he ran out of [MASK] clothes . [SEP],0.7616989911,8
[CLS] oliver 's bottle was [MASK] . [SEP],0.8085834384,9
[CLS] maria came home from work and found a sink full of [MASK] dishes . [SEP],0.921906352,10
[CLS] she then developed a [MASK] . [SEP],0.0676474888,1
[CLS] he has a very aggressive form of the [MASK] . [SEP],0.18930237,2
[CLS] he works on a cure for the [MASK] in his lab . [SEP],0.2831056863,3
[CLS] i had to get forty shots to prevent [MASK] . [SEP],0.3517510444,4
[CLS] she had severe kidney [MASK] . [SEP],0.4293027371,5
[CLS] julie found out she has a lung [MASK] . [SEP],0.5599607229,6
[CLS] i fear he is getting alzheimer 's [MASK] . [SEP],0.6236136258,7
[CLS] he said he had a [MASK] called neuropathy so he 'd qualify . [SEP],0.7436859012,8
"[CLS] so when he was diagnosed with bone marrow [MASK] , he was scared . [SEP]",0.8960624933,9
[CLS] when i found out i had celiac [MASK] i gave up all grains and sugar . [SEP],0.9776683152,10
[CLS] maria squeezed soap onto her sponge and washed the [MASK] . [SEP],0.0942434706,1
[CLS] [MASK] flew everywhere . [SEP],0.1908848882,2
"[CLS] after that , ann did the [MASK] every day without being asked . [SEP]",0.2876616269,3
[CLS] claire spent hours cleaning them and now she had clean [MASK] again . [SEP],0.3235218376,4
"[CLS] none of kendra 's kids , nor did she , wanted to do the [MASK] . [SEP]",0.493638441,5
[CLS] henry forgot to wash the [MASK] . [SEP],0.5386468023,6
[CLS] randy went in there after to wash the [MASK] . [SEP],0.6635691822,7
"[CLS] ivy hated washing [MASK] , but it was her turn to do them . [SEP]",0.7687053382,8
[CLS] ginny was washing the [MASK] . [SEP],0.8396151066,9
[CLS] and then there were even more [MASK] to do . [SEP],0.9612895846,10
[CLS] she succeeded and impressed the crowd with her crazy [MASK] . [SEP],0.0773933586,1
[CLS] he was on the high [MASK] at the water park . [SEP],0.1146578118,2
[CLS] now my friends ca n't [MASK] into the pool . [SEP],0.2206862383,3
[CLS] he picked the biggest pile to [MASK] in head first . [SEP],0.3075594492,4
[CLS] he stepped up to the diving board to execute a [MASK] . [SEP],0.4641353786,5
[CLS] then he did his best attempt at a graceful [MASK] . [SEP],0.5232435763,6
[CLS] the cousin dared dan to [MASK] from a high overhanging rock . [SEP],0.6062143743,7
[CLS] this summer terry decides he wants to learn how to [MASK] in the water . [SEP],0.7081896067,8
[CLS] then she did a perfect swan [MASK] . [SEP],0.8281849921,9
[CLS] she wanted to scuba [MASK] . [SEP],0.9843439162,10
[CLS] mike felt confident about how he would perform as a [MASK] . [SEP],0.094056515,1
[CLS] the [MASK] saw him and everything looked healthy . [SEP],0.108871419,2
[CLS] the [MASK] gave him some medicines and told him to rest . [SEP],0.2352970541,3
"[CLS] after a few days , his mom took johnny to the [MASK] . [SEP]",0.3577996343,4
[CLS] he visited a holistic [MASK] . [SEP],0.4661214948,5
[CLS] the [MASK] examined chuck and said he had a bacterial infection . [SEP],0.5606575459,6
[CLS] the [MASK] agreed and wrote ernie his prescription . [SEP],0.693567425,7
[CLS] he did n't want to take medication or see a [MASK] . [SEP],0.7522487342,8
[CLS] the team [MASK] checked him out . [SEP],0.8199893236,9
[CLS] i schedule a [MASK] 's appointment to remove a mole . [SEP],0.9538085759,10
[CLS] the new [MASK] was n't what tom wanted . [SEP],0.0959316175,1
[CLS] my mother wanted a new [MASK] . [SEP],0.1345954873,2
[CLS] the [MASK] ate the same food jim ate and his hair started to fall . [SEP],0.2152489349,3
[CLS] doug stopped walking his [MASK] without a shovel after that . [SEP],0.3487427533,4
"[CLS] the [MASK] came to dan , wagging its tail . [SEP]",0.4619133621,5
[CLS] i was so relieved that it was just my [MASK] . [SEP],0.501980558,6
[CLS] barry also bought a hot [MASK] . [SEP],0.6368135512,7
[CLS] jim bought the hot [MASK] and ate it on his way back home . [SEP],0.7418247759,8
[CLS] it was a hot [MASK] eating contest . [SEP],0.8365030587,9
[CLS] there is a loud [MASK] next door that never stops barking . [SEP],0.9438499808,10
[CLS] luckily her aunt did n't mind and she even fixed the [MASK] . [SEP],0.0498552322,1
[CLS] her favorite [MASK] was small one named princess . [SEP],0.1807141826,2
[CLS] she would say he looked like a troll [MASK] . [SEP],0.2175627649,3
[CLS] abby got a new [MASK] for her birthday . [SEP],0.3052310273,4
[CLS] she went to the toy store and bought a new [MASK] for her . [SEP],0.4228521436,5
[CLS] amy chose a [MASK] that looked just like her . [SEP],0.529965356,6
"[CLS] when she heard her grandma died , sue asked for the rag [MASK] . [SEP]",0.6466993988,7
[CLS] we also got her some dresses and a crib for the [MASK] . [SEP],0.7015387416,8
[CLS] meredith wanted a barbie [MASK] house for christmas . [SEP],0.8691129982,9
[CLS] i hated to tell the child her [MASK] was broken . [SEP],0.9198082685,10
[CLS] i had an extra [MASK] left over . [SEP],0.0847652517,1
[CLS] millie 's parents explained she 'd get an extra [MASK] for each year . [SEP],0.1967999116,2
[CLS] she saw a [MASK] bill on the ground . [SEP],0.2874505799,3
[CLS] the instructions were that there was a ten [MASK] limit . [SEP],0.3307296857,4
"[CLS] while working , accidentally broke a seven hundred [MASK] machine . [SEP]",0.4734574258,5
[CLS] it happens to be two 5 [MASK] bills . [SEP],0.5004735291,6
[CLS] he signed a million [MASK] music contract . [SEP],0.6879593879,7
[CLS] he made a forty [MASK] deposit into his savings account . [SEP],0.7642973959,8
[CLS] his lottery ticket turned out to be a five thousand [MASK] winner . [SEP],0.834707737,9
