category,constraint,target,related,unrelated,context,related_context,unrelated_context
open_class,low,evil,harm,poison,[CLS] talk of the town was that she practiced witchcraft and was [MASK] . [SEP],[CLS] harm. talk of the town was that she practiced witchcraft and was [MASK] . [SEP],[CLS] poison. talk of the town was that she practiced witchcraft and was [MASK] . [SEP]
open_class,high,evil,devil,refuse,[CLS] the teacher helped him use his genius for good rather than [MASK] . [SEP],[CLS] devil. the teacher helped him use his genius for good rather than [MASK] . [SEP],[CLS] refuse. the teacher helped him use his genius for good rather than [MASK] . [SEP]
open_class,high,evil,harm,poison,[CLS] the teacher helped him use his genius for good rather than [MASK] . [SEP],[CLS] harm. the teacher helped him use his genius for good rather than [MASK] . [SEP],[CLS] poison. the teacher helped him use his genius for good rather than [MASK] . [SEP]
open_class,high,exact,precise,trip,"[CLS] somehow , she had managed to pick the [MASK] color it was before ! [SEP]","[CLS] precise. somehow , she had managed to pick the [MASK] color it was before ! [SEP]","[CLS] trip. somehow , she had managed to pick the [MASK] color it was before ! [SEP]"
open_class,high,exact,identical,wear,"[CLS] somehow , she had managed to pick the [MASK] color it was before ! [SEP]","[CLS] identical. somehow , she had managed to pick the [MASK] color it was before ! [SEP]","[CLS] wear. somehow , she had managed to pick the [MASK] color it was before ! [SEP]"
open_class,low,exact,precise,trip,[CLS] he got the [MASK] tickets he wanted . [SEP],[CLS] precise. he got the [MASK] tickets he wanted . [SEP],[CLS] trip. he got the [MASK] tickets he wanted . [SEP]
open_class,low,exact,identical,wear,[CLS] he got the [MASK] tickets he wanted . [SEP],[CLS] identical. he got the [MASK] tickets he wanted . [SEP],[CLS] wear. he got the [MASK] tickets he wanted . [SEP]
open_class,low,example,sample,assault,[CLS] she was excited as she looked at the [MASK] pictures . [SEP],[CLS] sample. she was excited as she looked at the [MASK] pictures . [SEP],[CLS] assault. she was excited as she looked at the [MASK] pictures . [SEP]
open_class,low,example,instance,erupt,[CLS] she was excited as she looked at the [MASK] pictures . [SEP],[CLS] instance. she was excited as she looked at the [MASK] pictures . [SEP],[CLS] erupt. she was excited as she looked at the [MASK] pictures . [SEP]
open_class,high,example,sample,assault,[CLS] he used a facebook fan page he made as an [MASK] of his work . [SEP],[CLS] sample. he used a facebook fan page he made as an [MASK] of his work . [SEP],[CLS] assault. he used a facebook fan page he made as an [MASK] of his work . [SEP]
open_class,high,example,instance,erupt,[CLS] he used a facebook fan page he made as an [MASK] of his work . [SEP],[CLS] instance. he used a facebook fan page he made as an [MASK] of his work . [SEP],[CLS] erupt. he used a facebook fan page he made as an [MASK] of his work . [SEP]
open_class,high,excited,overwhelm,twinkle,[CLS] terry was super [MASK] to go his walk and he barked in delight . [SEP],[CLS] overwhelm. terry was super [MASK] to go his walk and he barked in delight . [SEP],[CLS] twinkle. terry was super [MASK] to go his walk and he barked in delight . [SEP]
open_class,high,excited,fun,guard,[CLS] terry was super [MASK] to go his walk and he barked in delight . [SEP],[CLS] fun. terry was super [MASK] to go his walk and he barked in delight . [SEP],[CLS] guard. terry was super [MASK] to go his walk and he barked in delight . [SEP]
open_class,low,excited,overwhelm,twinkle,[CLS] brittany is happy and [MASK] for school . [SEP],[CLS] overwhelm. brittany is happy and [MASK] for school . [SEP],[CLS] twinkle. brittany is happy and [MASK] for school . [SEP]
open_class,low,excited,fun,guard,[CLS] brittany is happy and [MASK] for school . [SEP],[CLS] fun. brittany is happy and [MASK] for school . [SEP],[CLS] guard. brittany is happy and [MASK] for school . [SEP]
open_class,high,excuse,pardon,marsh,[CLS] he needed an [MASK] to use it . [SEP],[CLS] pardon. he needed an [MASK] to use it . [SEP],[CLS] marsh. he needed an [MASK] to use it . [SEP]
open_class,high,excuse,explain,antler,[CLS] he needed an [MASK] to use it . [SEP],[CLS] explain. he needed an [MASK] to use it . [SEP],[CLS] antler. he needed an [MASK] to use it . [SEP]
open_class,low,excuse,pardon,marsh,"[CLS] dan , believing the [MASK] mowed the lawn himself . [SEP]","[CLS] pardon. dan , believing the [MASK] mowed the lawn himself . [SEP]","[CLS] marsh. dan , believing the [MASK] mowed the lawn himself . [SEP]"
open_class,low,excuse,explain,antler,"[CLS] dan , believing the [MASK] mowed the lawn himself . [SEP]","[CLS] explain. dan , believing the [MASK] mowed the lawn himself . [SEP]","[CLS] antler. dan , believing the [MASK] mowed the lawn himself . [SEP]"
open_class,high,exercise,stretch,apple,[CLS] marsha plans to began a rigorous diet and [MASK] plan . [SEP],[CLS] stretch. marsha plans to began a rigorous diet and [MASK] plan . [SEP],[CLS] apple. marsha plans to began a rigorous diet and [MASK] plan . [SEP]
open_class,high,exercise,headband,vehicle,[CLS] marsha plans to began a rigorous diet and [MASK] plan . [SEP],[CLS] headband. marsha plans to began a rigorous diet and [MASK] plan . [SEP],[CLS] vehicle. marsha plans to began a rigorous diet and [MASK] plan . [SEP]
open_class,low,exercise,stretch,apple,[CLS] gloria did n't follow the diet and [MASK] plan of her doctor . [SEP],[CLS] stretch. gloria did n't follow the diet and [MASK] plan of her doctor . [SEP],[CLS] apple. gloria did n't follow the diet and [MASK] plan of her doctor . [SEP]
open_class,low,exercise,headband,vehicle,[CLS] gloria did n't follow the diet and [MASK] plan of her doctor . [SEP],[CLS] headband. gloria did n't follow the diet and [MASK] plan of her doctor . [SEP],[CLS] vehicle. gloria did n't follow the diet and [MASK] plan of her doctor . [SEP]
open_class,low,exit,entrance,vacuum,[CLS] on the way to the beach tyler told his dad they were missing the [MASK] . [SEP],[CLS] entrance. on the way to the beach tyler told his dad they were missing the [MASK] . [SEP],[CLS] vacuum. on the way to the beach tyler told his dad they were missing the [MASK] . [SEP]
open_class,low,exit,escape,sting,[CLS] on the way to the beach tyler told his dad they were missing the [MASK] . [SEP],[CLS] escape. on the way to the beach tyler told his dad they were missing the [MASK] . [SEP],[CLS] sting. on the way to the beach tyler told his dad they were missing the [MASK] . [SEP]
open_class,high,exit,entrance,vacuum,[CLS] i thought it was a different [MASK] . [SEP],[CLS] entrance. i thought it was a different [MASK] . [SEP],[CLS] vacuum. i thought it was a different [MASK] . [SEP]
open_class,high,exit,escape,sting,[CLS] i thought it was a different [MASK] . [SEP],[CLS] escape. i thought it was a different [MASK] . [SEP],[CLS] sting. i thought it was a different [MASK] . [SEP]
open_class,high,expensive,valuable,monk,[CLS] but then i realized it was too [MASK] . [SEP],[CLS] valuable. but then i realized it was too [MASK] . [SEP],[CLS] monk. but then i realized it was too [MASK] . [SEP]
open_class,high,expensive,text,research,[CLS] but then i realized it was too [MASK] . [SEP],[CLS] text. but then i realized it was too [MASK] . [SEP],[CLS] research. but then i realized it was too [MASK] . [SEP]
open_class,low,expensive,valuable,monk,[CLS] the surgery bill was going to be [MASK] . [SEP],[CLS] valuable. the surgery bill was going to be [MASK] . [SEP],[CLS] monk. the surgery bill was going to be [MASK] . [SEP]
open_class,low,expensive,text,research,[CLS] the surgery bill was going to be [MASK] . [SEP],[CLS] text. the surgery bill was going to be [MASK] . [SEP],[CLS] research. the surgery bill was going to be [MASK] . [SEP]
open_class,low,experiment,lab,george,[CLS] so she went to her favorite salon to [MASK] . [SEP],[CLS] lab. so she went to her favorite salon to [MASK] . [SEP],[CLS] george. so she went to her favorite salon to [MASK] . [SEP]
open_class,low,experiment,procedure,upstairs,[CLS] so she went to her favorite salon to [MASK] . [SEP],[CLS] procedure. so she went to her favorite salon to [MASK] . [SEP],[CLS] upstairs. so she went to her favorite salon to [MASK] . [SEP]
open_class,high,experiment,lab,george,[CLS] a scientist was in the lab working on an [MASK] . [SEP],[CLS] lab. a scientist was in the lab working on an [MASK] . [SEP],[CLS] george. a scientist was in the lab working on an [MASK] . [SEP]
open_class,high,experiment,procedure,upstairs,[CLS] a scientist was in the lab working on an [MASK] . [SEP],[CLS] procedure. a scientist was in the lab working on an [MASK] . [SEP],[CLS] upstairs. a scientist was in the lab working on an [MASK] . [SEP]
open_class,high,explain,elaborate,traitor,[CLS] when tyrone tried to [MASK] himself the cop tased him and jailed him . [SEP],[CLS] elaborate. when tyrone tried to [MASK] himself the cop tased him and jailed him . [SEP],[CLS] traitor. when tyrone tried to [MASK] himself the cop tased him and jailed him . [SEP]
open_class,high,explain,justify,tar,[CLS] when tyrone tried to [MASK] himself the cop tased him and jailed him . [SEP],[CLS] justify. when tyrone tried to [MASK] himself the cop tased him and jailed him . [SEP],[CLS] tar. when tyrone tried to [MASK] himself the cop tased him and jailed him . [SEP]
open_class,low,explain,elaborate,traitor,[CLS] the friends tried to [MASK] that it was just a coincidence . [SEP],[CLS] elaborate. the friends tried to [MASK] that it was just a coincidence . [SEP],[CLS] traitor. the friends tried to [MASK] that it was just a coincidence . [SEP]
open_class,low,explain,justify,tar,[CLS] the friends tried to [MASK] that it was just a coincidence . [SEP],[CLS] justify. the friends tried to [MASK] that it was just a coincidence . [SEP],[CLS] tar. the friends tried to [MASK] that it was just a coincidence . [SEP]
open_class,high,explode,implode,use,[CLS] i felt like my lungs were going to [MASK] . [SEP],[CLS] implode. i felt like my lungs were going to [MASK] . [SEP],[CLS] use. i felt like my lungs were going to [MASK] . [SEP]
open_class,high,explode,atomic,luggage,[CLS] i felt like my lungs were going to [MASK] . [SEP],[CLS] atomic. i felt like my lungs were going to [MASK] . [SEP],[CLS] luggage. i felt like my lungs were going to [MASK] . [SEP]
open_class,low,explode,implode,use,[CLS] the soda did n't [MASK] but it did make a big mess all over his garage . [SEP],[CLS] implode. the soda did n't [MASK] but it did make a big mess all over his garage . [SEP],[CLS] use. the soda did n't [MASK] but it did make a big mess all over his garage . [SEP]
open_class,low,explode,atomic,luggage,[CLS] the soda did n't [MASK] but it did make a big mess all over his garage . [SEP],[CLS] atomic. the soda did n't [MASK] but it did make a big mess all over his garage . [SEP],[CLS] luggage. the soda did n't [MASK] but it did make a big mess all over his garage . [SEP]
open_class,low,explosion,dynamite,trance,[CLS] steve dove into a fox hole and waited for the impending [MASK] . [SEP],[CLS] dynamite. steve dove into a fox hole and waited for the impending [MASK] . [SEP],[CLS] trance. steve dove into a fox hole and waited for the impending [MASK] . [SEP]
open_class,low,explosion,population,brandy,[CLS] steve dove into a fox hole and waited for the impending [MASK] . [SEP],[CLS] population. steve dove into a fox hole and waited for the impending [MASK] . [SEP],[CLS] brandy. steve dove into a fox hole and waited for the impending [MASK] . [SEP]
open_class,high,explosion,dynamite,trance,[CLS] they caused an [MASK] . [SEP],[CLS] dynamite. they caused an [MASK] . [SEP],[CLS] trance. they caused an [MASK] . [SEP]
open_class,high,explosion,population,brandy,[CLS] they caused an [MASK] . [SEP],[CLS] population. they caused an [MASK] . [SEP],[CLS] brandy. they caused an [MASK] . [SEP]
open_class,low,eye,squint,architect,[CLS] nancy checked again and accidentally hit the wrong [MASK] . [SEP],[CLS] squint. nancy checked again and accidentally hit the wrong [MASK] . [SEP],[CLS] architect. nancy checked again and accidentally hit the wrong [MASK] . [SEP]
open_class,low,eye,look,moose,[CLS] nancy checked again and accidentally hit the wrong [MASK] . [SEP],[CLS] look. nancy checked again and accidentally hit the wrong [MASK] . [SEP],[CLS] moose. nancy checked again and accidentally hit the wrong [MASK] . [SEP]
open_class,high,eye,squint,architect,[CLS] suddenly he saw something out of the corner of his [MASK] . [SEP],[CLS] squint. suddenly he saw something out of the corner of his [MASK] . [SEP],[CLS] architect. suddenly he saw something out of the corner of his [MASK] . [SEP]
open_class,high,eye,look,moose,[CLS] suddenly he saw something out of the corner of his [MASK] . [SEP],[CLS] look. suddenly he saw something out of the corner of his [MASK] . [SEP],[CLS] moose. suddenly he saw something out of the corner of his [MASK] . [SEP]
open_class,low,eyes,eyebrows,monastery,[CLS] the cat was sleeping with her paws over her [MASK] . [SEP],[CLS] eyebrows. the cat was sleeping with her paws over her [MASK] . [SEP],[CLS] monastery. the cat was sleeping with her paws over her [MASK] . [SEP]
open_class,low,eyes,wake,lubricate,[CLS] the cat was sleeping with her paws over her [MASK] . [SEP],[CLS] wake. the cat was sleeping with her paws over her [MASK] . [SEP],[CLS] lubricate. the cat was sleeping with her paws over her [MASK] . [SEP]
open_class,high,eyes,eyebrows,monastery,[CLS] she had long blonde hair and pretty blue [MASK] . [SEP],[CLS] eyebrows. she had long blonde hair and pretty blue [MASK] . [SEP],[CLS] monastery. she had long blonde hair and pretty blue [MASK] . [SEP]
open_class,high,eyes,wake,lubricate,[CLS] she had long blonde hair and pretty blue [MASK] . [SEP],[CLS] wake. she had long blonde hair and pretty blue [MASK] . [SEP],[CLS] lubricate. she had long blonde hair and pretty blue [MASK] . [SEP]
open_class,high,face,mask,reproduce,[CLS] she ended up being slapped in the [MASK] . [SEP],[CLS] mask. she ended up being slapped in the [MASK] . [SEP],[CLS] reproduce. she ended up being slapped in the [MASK] . [SEP]
open_class,high,face,powder,antique,[CLS] she ended up being slapped in the [MASK] . [SEP],[CLS] powder. she ended up being slapped in the [MASK] . [SEP],[CLS] antique. she ended up being slapped in the [MASK] . [SEP]
open_class,low,face,mask,reproduce,"[CLS] once she saw her [MASK] , she immediately started to yell . [SEP]","[CLS] mask. once she saw her [MASK] , she immediately started to yell . [SEP]","[CLS] reproduce. once she saw her [MASK] , she immediately started to yell . [SEP]"
open_class,low,face,powder,antique,"[CLS] once she saw her [MASK] , she immediately started to yell . [SEP]","[CLS] powder. once she saw her [MASK] , she immediately started to yell . [SEP]","[CLS] antique. once she saw her [MASK] , she immediately started to yell . [SEP]"
open_class,high,fail,pass,scuba,"[CLS] when he went to class the next day , bill knew he would [MASK] the test . [SEP]","[CLS] pass. when he went to class the next day , bill knew he would [MASK] the test . [SEP]","[CLS] scuba. when he went to class the next day , bill knew he would [MASK] the test . [SEP]"
open_class,high,fail,cheat,criticize,"[CLS] when he went to class the next day , bill knew he would [MASK] the test . [SEP]","[CLS] cheat. when he went to class the next day , bill knew he would [MASK] the test . [SEP]","[CLS] criticize. when he went to class the next day , bill knew he would [MASK] the test . [SEP]"
open_class,low,fail,pass,scuba,[CLS] mike was told that most business [MASK] within the first months . [SEP],[CLS] pass. mike was told that most business [MASK] within the first months . [SEP],[CLS] scuba. mike was told that most business [MASK] within the first months . [SEP]
open_class,low,fail,cheat,criticize,[CLS] mike was told that most business [MASK] within the first months . [SEP],[CLS] cheat. mike was told that most business [MASK] within the first months . [SEP],[CLS] criticize. mike was told that most business [MASK] within the first months . [SEP]
open_class,low,failure,success,canvass,[CLS] i realized the alarm clock was blinking due to a power [MASK] . [SEP],[CLS] success. i realized the alarm clock was blinking due to a power [MASK] . [SEP],[CLS] canvass. i realized the alarm clock was blinking due to a power [MASK] . [SEP]
open_class,low,failure,flunk,race,[CLS] i realized the alarm clock was blinking due to a power [MASK] . [SEP],[CLS] flunk. i realized the alarm clock was blinking due to a power [MASK] . [SEP],[CLS] race. i realized the alarm clock was blinking due to a power [MASK] . [SEP]
open_class,high,failure,success,canvass,[CLS] our vacation was a [MASK] because there was nothing to do . [SEP],[CLS] success. our vacation was a [MASK] because there was nothing to do . [SEP],[CLS] canvass. our vacation was a [MASK] because there was nothing to do . [SEP]
open_class,high,failure,flunk,race,[CLS] our vacation was a [MASK] because there was nothing to do . [SEP],[CLS] flunk. our vacation was a [MASK] because there was nothing to do . [SEP],[CLS] race. our vacation was a [MASK] because there was nothing to do . [SEP]
open_class,high,faint,swoon,hint,[CLS] she started sweating and feeling [MASK] . [SEP],[CLS] swoon. she started sweating and feeling [MASK] . [SEP],[CLS] hint. she started sweating and feeling [MASK] . [SEP]
open_class,high,faint,lightheaded,methodist,[CLS] she started sweating and feeling [MASK] . [SEP],[CLS] lightheaded. she started sweating and feeling [MASK] . [SEP],[CLS] methodist. she started sweating and feeling [MASK] . [SEP]
open_class,low,faint,swoon,hint,[CLS] he would nearly [MASK] at the thought of a pig . [SEP],[CLS] swoon. he would nearly [MASK] at the thought of a pig . [SEP],[CLS] hint. he would nearly [MASK] at the thought of a pig . [SEP]
open_class,low,faint,lightheaded,methodist,[CLS] he would nearly [MASK] at the thought of a pig . [SEP],[CLS] lightheaded. he would nearly [MASK] at the thought of a pig . [SEP],[CLS] methodist. he would nearly [MASK] at the thought of a pig . [SEP]
open_class_problems,low,fair,just,ducks,[CLS] aunt selma was always [MASK] . [SEP],[CLS] just. aunt selma was always [MASK] . [SEP],[CLS] ducks. aunt selma was always [MASK] . [SEP]
open_class_problems,low,fair,justice,revolution,[CLS] aunt selma was always [MASK] . [SEP],[CLS] justice. aunt selma was always [MASK] . [SEP],[CLS] revolution. aunt selma was always [MASK] . [SEP]
open_class_problems,high,fair,just,ducks,[CLS] the man was strict but [MASK] and treated annie well . [SEP],[CLS] just. the man was strict but [MASK] and treated annie well . [SEP],[CLS] ducks. the man was strict but [MASK] and treated annie well . [SEP]
open_class_problems,high,fair,justice,revolution,[CLS] the man was strict but [MASK] and treated annie well . [SEP],[CLS] justice. the man was strict but [MASK] and treated annie well . [SEP],[CLS] revolution. the man was strict but [MASK] and treated annie well . [SEP]
open_class_problems,low,faith,believe,mutton,[CLS] i kept missing and i was beginning to lose [MASK] in myself . [SEP],[CLS] believe. i kept missing and i was beginning to lose [MASK] in myself . [SEP],[CLS] mutton. i kept missing and i was beginning to lose [MASK] in myself . [SEP]
open_class_problems,low,faith,trust,hearing,[CLS] i kept missing and i was beginning to lose [MASK] in myself . [SEP],[CLS] trust. i kept missing and i was beginning to lose [MASK] in myself . [SEP],[CLS] hearing. i kept missing and i was beginning to lose [MASK] in myself . [SEP]
open_class_problems,high,faith,believe,mutton,[CLS] chris 's [MASK] in santa claus was renewed ! [SEP],[CLS] believe. chris 's [MASK] in santa claus was renewed ! [SEP],[CLS] mutton. chris 's [MASK] in santa claus was renewed ! [SEP]
open_class_problems,high,faith,trust,hearing,[CLS] chris 's [MASK] in santa claus was renewed ! [SEP],[CLS] trust. chris 's [MASK] in santa claus was renewed ! [SEP],[CLS] hearing. chris 's [MASK] in santa claus was renewed ! [SEP]
open_class,high,fake,unnatural,feet,"[CLS] instead , i would create a [MASK] author and title for a book . [SEP]","[CLS] unnatural. instead , i would create a [MASK] author and title for a book . [SEP]","[CLS] feet. instead , i would create a [MASK] author and title for a book . [SEP]"
open_class,high,fake,mimic,moral,"[CLS] instead , i would create a [MASK] author and title for a book . [SEP]","[CLS] mimic. instead , i would create a [MASK] author and title for a book . [SEP]","[CLS] moral. instead , i would create a [MASK] author and title for a book . [SEP]"
open_class,low,fake,unnatural,feet,[CLS] she was going to have a big [MASK] cauldron . [SEP],[CLS] unnatural. she was going to have a big [MASK] cauldron . [SEP],[CLS] feet. she was going to have a big [MASK] cauldron . [SEP]
open_class,low,fake,mimic,moral,[CLS] she was going to have a big [MASK] cauldron . [SEP],[CLS] mimic. she was going to have a big [MASK] cauldron . [SEP],[CLS] moral. she was going to have a big [MASK] cauldron . [SEP]
open_class_problems,low,fall,drop,litter,[CLS] ella was unscathed from the [MASK] . [SEP],[CLS] drop. ella was unscathed from the [MASK] . [SEP],[CLS] litter. ella was unscathed from the [MASK] . [SEP]
open_class_problems,low,fall,stand,hustle,[CLS] ella was unscathed from the [MASK] . [SEP],[CLS] stand. ella was unscathed from the [MASK] . [SEP],[CLS] hustle. ella was unscathed from the [MASK] . [SEP]
open_class,high,fall,drop,litter,[CLS] he scraped his elbows on the [MASK] down . [SEP],[CLS] drop. he scraped his elbows on the [MASK] down . [SEP],[CLS] litter. he scraped his elbows on the [MASK] down . [SEP]
open_class,high,fall,stand,hustle,[CLS] he scraped his elbows on the [MASK] down . [SEP],[CLS] stand. he scraped his elbows on the [MASK] down . [SEP],[CLS] hustle. he scraped his elbows on the [MASK] down . [SEP]
open_class,low,false,untrue,rung,[CLS] she noticed that the information one was sharing was [MASK] . [SEP],[CLS] untrue. she noticed that the information one was sharing was [MASK] . [SEP],[CLS] rung. she noticed that the information one was sharing was [MASK] . [SEP]
open_class,low,false,phony,fortune,[CLS] she noticed that the information one was sharing was [MASK] . [SEP],[CLS] phony. she noticed that the information one was sharing was [MASK] . [SEP],[CLS] fortune. she noticed that the information one was sharing was [MASK] . [SEP]
open_class,high,false,untrue,rung,"[CLS] however , it was a [MASK] alarm since a train was moving close - by . [SEP]","[CLS] untrue. however , it was a [MASK] alarm since a train was moving close - by . [SEP]","[CLS] rung. however , it was a [MASK] alarm since a train was moving close - by . [SEP]"
open_class,high,false,phony,fortune,"[CLS] however , it was a [MASK] alarm since a train was moving close - by . [SEP]","[CLS] phony. however , it was a [MASK] alarm since a train was moving close - by . [SEP]","[CLS] fortune. however , it was a [MASK] alarm since a train was moving close - by . [SEP]"
open_class,high,family,friends,cabin,[CLS] no one in his [MASK] has ever gone to college . [SEP],[CLS] friends. no one in his [MASK] has ever gone to college . [SEP],[CLS] cabin. no one in his [MASK] has ever gone to college . [SEP]
open_class,high,family,home,style,[CLS] no one in his [MASK] has ever gone to college . [SEP],[CLS] home. no one in his [MASK] has ever gone to college . [SEP],[CLS] style. no one in his [MASK] has ever gone to college . [SEP]
open_class,low,family,friends,cabin,"[CLS] there , she and her [MASK] waited while firefighters rushed in . [SEP]","[CLS] friends. there , she and her [MASK] waited while firefighters rushed in . [SEP]","[CLS] cabin. there , she and her [MASK] waited while firefighters rushed in . [SEP]"
open_class,low,family,home,style,"[CLS] there , she and her [MASK] waited while firefighters rushed in . [SEP]","[CLS] home. there , she and her [MASK] waited while firefighters rushed in . [SEP]","[CLS] style. there , she and her [MASK] waited while firefighters rushed in . [SEP]"
open_class,low,fantasy,reality,accomplished,[CLS] he told her he had a [MASK] . [SEP],[CLS] reality. he told her he had a [MASK] . [SEP],[CLS] accomplished. he told her he had a [MASK] . [SEP]
open_class,low,fantasy,ecstasy,protect,[CLS] he told her he had a [MASK] . [SEP],[CLS] ecstasy. he told her he had a [MASK] . [SEP],[CLS] protect. he told her he had a [MASK] . [SEP]
open_class,high,fantasy,reality,accomplished,[CLS] liam loved [MASK] movies . [SEP],[CLS] reality. liam loved [MASK] movies . [SEP],[CLS] accomplished. liam loved [MASK] movies . [SEP]
open_class,high,fantasy,ecstasy,protect,[CLS] liam loved [MASK] movies . [SEP],[CLS] ecstasy. liam loved [MASK] movies . [SEP],[CLS] protect. liam loved [MASK] movies . [SEP]
open_class,low,far,distance,fake,"[CLS] they came across the line first , [MASK] ahead of the other boats . [SEP]","[CLS] distance. they came across the line first , [MASK] ahead of the other boats . [SEP]","[CLS] fake. they came across the line first , [MASK] ahead of the other boats . [SEP]"
open_class,low,far,local,monument,"[CLS] they came across the line first , [MASK] ahead of the other boats . [SEP]","[CLS] local. they came across the line first , [MASK] ahead of the other boats . [SEP]","[CLS] monument. they came across the line first , [MASK] ahead of the other boats . [SEP]"
open_class,high,far,distance,fake,[CLS] the chocolate store was too [MASK] away . [SEP],[CLS] distance. the chocolate store was too [MASK] away . [SEP],[CLS] fake. the chocolate store was too [MASK] away . [SEP]
open_class,high,far,local,monument,[CLS] the chocolate store was too [MASK] away . [SEP],[CLS] local. the chocolate store was too [MASK] away . [SEP],[CLS] monument. the chocolate store was too [MASK] away . [SEP]
open_class,high,farm,agriculture,feeling,[CLS] elizabeth grew up on a flower [MASK] along a remote area . [SEP],[CLS] agriculture. elizabeth grew up on a flower [MASK] along a remote area . [SEP],[CLS] feeling. elizabeth grew up on a flower [MASK] along a remote area . [SEP]
open_class,high,farm,rooster,attendance,[CLS] elizabeth grew up on a flower [MASK] along a remote area . [SEP],[CLS] rooster. elizabeth grew up on a flower [MASK] along a remote area . [SEP],[CLS] attendance. elizabeth grew up on a flower [MASK] along a remote area . [SEP]
open_class,low,farm,agriculture,feeling,[CLS] we drove to the [MASK] and walked out to the orchard . [SEP],[CLS] agriculture. we drove to the [MASK] and walked out to the orchard . [SEP],[CLS] feeling. we drove to the [MASK] and walked out to the orchard . [SEP]
open_class,low,farm,rooster,attendance,[CLS] we drove to the [MASK] and walked out to the orchard . [SEP],[CLS] rooster. we drove to the [MASK] and walked out to the orchard . [SEP],[CLS] attendance. we drove to the [MASK] and walked out to the orchard . [SEP]
open_class,high,fashion,fad,angel,[CLS] vera wanted to be a [MASK] designer . [SEP],[CLS] fad. vera wanted to be a [MASK] designer . [SEP],[CLS] angel. vera wanted to be a [MASK] designer . [SEP]
open_class,high,fashion,orderly,command,[CLS] vera wanted to be a [MASK] designer . [SEP],[CLS] orderly. vera wanted to be a [MASK] designer . [SEP],[CLS] command. vera wanted to be a [MASK] designer . [SEP]
open_class,low,fashion,fad,angel,[CLS] she was putting on a [MASK] show in just a few days . [SEP],[CLS] fad. she was putting on a [MASK] show in just a few days . [SEP],[CLS] angel. she was putting on a [MASK] show in just a few days . [SEP]
open_class,low,fashion,orderly,command,[CLS] she was putting on a [MASK] show in just a few days . [SEP],[CLS] orderly. she was putting on a [MASK] show in just a few days . [SEP],[CLS] command. she was putting on a [MASK] show in just a few days . [SEP]
open_class,low,fast,speed,win,[CLS] but the cat was too [MASK] for her . [SEP],[CLS] speed. but the cat was too [MASK] for her . [SEP],[CLS] win. but the cat was too [MASK] for her . [SEP]
open_class,low,fast,hustle,marines,[CLS] but the cat was too [MASK] for her . [SEP],[CLS] hustle. but the cat was too [MASK] for her . [SEP],[CLS] marines. but the cat was too [MASK] for her . [SEP]
open_class,high,fast,speed,win,[CLS] bill liked to go to [MASK] food joints . [SEP],[CLS] speed. bill liked to go to [MASK] food joints . [SEP],[CLS] win. bill liked to go to [MASK] food joints . [SEP]
open_class,high,fast,hustle,marines,[CLS] bill liked to go to [MASK] food joints . [SEP],[CLS] hustle. bill liked to go to [MASK] food joints . [SEP],[CLS] marines. bill liked to go to [MASK] food joints . [SEP]
open_class,low,fat,skinny,poet,[CLS] he had become increasingly [MASK] in his old age . [SEP],[CLS] skinny. he had become increasingly [MASK] in his old age . [SEP],[CLS] poet. he had become increasingly [MASK] in his old age . [SEP]
open_class,low,fat,weigh,spit,[CLS] he had become increasingly [MASK] in his old age . [SEP],[CLS] weigh. he had become increasingly [MASK] in his old age . [SEP],[CLS] spit. he had become increasingly [MASK] in his old age . [SEP]
open_class,high,fat,skinny,poet,"[CLS] once , i decided to sneak in my low - [MASK] popcorn to the cinema . [SEP]","[CLS] skinny. once , i decided to sneak in my low - [MASK] popcorn to the cinema . [SEP]","[CLS] poet. once , i decided to sneak in my low - [MASK] popcorn to the cinema . [SEP]"
open_class,high,fat,weigh,spit,"[CLS] once , i decided to sneak in my low - [MASK] popcorn to the cinema . [SEP]","[CLS] weigh. once , i decided to sneak in my low - [MASK] popcorn to the cinema . [SEP]","[CLS] spit. once , i decided to sneak in my low - [MASK] popcorn to the cinema . [SEP]"
open_class,high,father,mother,homework,[CLS] his [MASK] fell in love with ballet and apologized to mark . [SEP],[CLS] mother. his [MASK] fell in love with ballet and apologized to mark . [SEP],[CLS] homework. his [MASK] fell in love with ballet and apologized to mark . [SEP]
open_class,high,father,nun,decoration,[CLS] his [MASK] fell in love with ballet and apologized to mark . [SEP],[CLS] nun. his [MASK] fell in love with ballet and apologized to mark . [SEP],[CLS] decoration. his [MASK] fell in love with ballet and apologized to mark . [SEP]
open_class,low,father,mother,homework,[CLS] when i was 23 i made an afghan for my [MASK] . [SEP],[CLS] mother. when i was 23 i made an afghan for my [MASK] . [SEP],[CLS] homework. when i was 23 i made an afghan for my [MASK] . [SEP]
open_class,low,father,nun,decoration,[CLS] when i was 23 i made an afghan for my [MASK] . [SEP],[CLS] nun. when i was 23 i made an afghan for my [MASK] . [SEP],[CLS] decoration. when i was 23 i made an afghan for my [MASK] . [SEP]
open_class,high,fear,terror,leader,[CLS] she walked into the tattoo parlor and was shaking with [MASK] . [SEP],[CLS] terror. she walked into the tattoo parlor and was shaking with [MASK] . [SEP],[CLS] leader. she walked into the tattoo parlor and was shaking with [MASK] . [SEP]
